INFO_2025-04-01 22:49:42,661_File: base_app.views Func: home.
INFO_2025-04-01 23:06:55,499_File: base_app.views Func: home.
INFO_2025-04-01 23:28:54,732_File: base_app.views Func: filial_home.
INFO_2025-04-01 23:28:56,499_File: base_app.views Func: report.
INFO_2025-04-01 23:28:58,679_File: base_app.views Func: report.
INFO_2025-04-01 23:31:39,865_File: base_app.views Func: report.
INFO_2025-04-01 23:32:16,093_File: base_app.views Func: report.
INFO_2025-04-01 23:32:24,161_File: base_app.views Func: report.
INFO_2025-04-01 23:32:48,116_File: base_app.views Func: report.
INFO_2025-04-02 11:51:22,370_File: base_app.views Func: error_reverse_url.
INFO_2025-04-02 11:51:25,000_File: base_app.views Func: error_reverse_url.
INFO_2025-04-02 11:51:26,783_File: base_app.views Func: report.
